Cluster,Gmag,SourceId,dec,par,ra,spar
Hyades,11.77,3310640648085373824,13.661710000000001,21.052,64.44921,0.036000000000000004
Hyades,11.27,3310569798304869888,13.366229999999998,21.73,64.6965,0.034
Hyades,6.482,3311024789960504576,14.40971,20.465999999999998,65.39544000000001,0.03
Hyades,5.497000000000001,3310634944368705664,14.035120000000001,22.009,64.99095,0.013000000000000001
Hyades,14.492,3310857011357831936,14.118570000000002,22.340999999999998,66.85087,0.069
Hyades,14.314,3311102820926310784,14.695160000000001,20.333,65.39668,0.026000000000000002
Hyades,14.742,3409827214070099840,18.72891,20.54,72.14622,0.026000000000000002
Hyades,14.276,3409867964719693824,18.77463,22.998,71.56393,0.153
Hyades,15.481,3409968703177094656,19.30405,20.859,72.67914,0.055
Hyades,17.695999999999998,3409875592581586944,18.95761,20.395,71.54063000000001,0.08800000000000001
Hyades,13.187999999999999,3409855590918757760,19.02456,18.349,71.98696,0.081
Hyades,15.094000000000001,3409959567782077184,19.27722,20.061,72.36833,0.021
Hyades,12.552999999999999,3409855590918086400,19.02376,18.511,71.98634,0.057
Hyades,5.607,3284773915487855488,5.52308,26.664,62.83515,0.059000000000000004
Hyades,9.446,3239389683266590208,4.73315,19.219,75.20401,0.027999999999999997
Hyades,18.930999999999997,3392546632197477248,14.710120000000002,20.809,75.55638,0.225
Hyades,16.46,3392628893706422272,14.101020000000002,16.717,74.0961,0.026000000000000002
Hyades,14.398,3392664627834274688,14.4519,20.726,74.49114,0.024
Hyades,13.76,3419656057748048512,24.36249,19.387,73.95477,0.018000000000000002
Hyades,8.747,3406823245223942528,18.64108,21.848000000000003,72.26508000000001,0.027000000000000003
Hyades,9.932,3406943091991364608,18.996760000000002,19.673,73.09841,0.002
Hyades,9.134,3309956850635519488,15.6839,19.953,69.02237,0.036000000000000004
Hyades,17.05,3309978501567767808,16.00291,21.058000000000003,69.61595,0.102
Hyades,16.750999999999998,3309918646903563264,15.66135,20.82,69.74412,0.064
Hyades,14.415,3309974344039455488,15.82139,21.018,69.54442,0.027999999999999997
Hyades,13.636,3308269757418376576,13.287970000000001,20.305999999999997,68.95255999999999,0.024
Hyades,10.489,3308127405023027328,13.221129999999999,22.633000000000003,70.37408,0.019
Hyades,14.932,3308403897837092992,13.979320000000001,21.708000000000002,70.09991,0.03
Hyades,11.505999999999998,146989143968434688,24.019820000000003,21.674,71.79108000000001,0.025
Hyades,11.696,56447041481918720,17.85391,25.773000000000003,54.38971,0.036000000000000004
Hyades,12.093,56447037184877824,17.85,25.635,54.392030000000005,0.006999999999999999
Hyades,14.753,3299441950357981696,9.39631,22.17,64.73295999999999,0.044000000000000004
Hyades,6.966,3300934223858467072,10.701360000000001,22.289,63.643609999999995,0.031
Hyades,14.344000000000001,46458115782368384,16.66431,23.87,59.813190000000006,0.023
Hyades,15.202,218783542413339648,34.12417,23.57,58.000530000000005,0.015
Hyades,13.575,3313541056680391296,15.88081,22.355999999999998,65.9295,0.012
Hyades,16.562,3313665885609887744,16.4301,21.72,66.77716,0.055
Hyades,16.634,3313665885609887616,16.429579999999998,21.962,66.77788000000001,0.028999999999999998
Hyades,7.941,3313689422030650496,16.746779999999998,21.744,66.66766,0.057
Hyades,14.075,3313714023603261568,16.969910000000002,20.895,67.16467,0.015
Hyades,8.068,3313630082762446208,16.37884,17.317,66.05367,0.027999999999999997
Hyades,14.347000000000001,3313606340183243136,16.35408,22.244,65.98259,0.018000000000000002
Hyades,15.027999999999999,3313579505227558528,16.30224,21.166,66.31935,0.032
Hyades,7.656000000000001,3313662896312488192,16.88606,21.705,66.11853,0.05
Hyades,11.728,3313653894061044224,16.72147,21.684,65.99689000000001,0.046
Hyades,10.352,71487329756936320,28.382070000000002,18.292,54.78357,0.02
Hyades,12.440999999999999,3305524242524308352,13.54905,19.765,61.6448,0.13
Hyades,15.32,3277579398589199616,6.573860000000001,27.061,54.53054,0.069
Hyades,13.425,3288018093264886016,6.10936,22.916,72.4675,0.033
Hyades,17.362000000000002,163804078373452288,28.31672,20.074,60.415169999999996,0.06
Hyades,8.7,3392446821452424192,14.00211,18.319000000000003,74.45658,0.013000000000000001
Hyades,15.015999999999998,3392423078873226112,13.945139999999999,18.266,74.36513000000001,0.017
Hyades,15.261,3392323607430380416,15.377220000000001,20.074,77.06455,0.063
Hyades,13.565999999999999,3392438678194466560,13.98432,16.477,74.05309,0.168
Hyades,10.487,3392422013721349632,13.912270000000001,17.709,74.25312,0.005
Hyades,14.93,3391410909700425600,13.26971,19.648,76.79218,0.039
Hyades,13.642000000000001,3313207698500079360,17.04056,22.822,69.63188000000001,0.032
Hyades,14.529000000000002,3313173957237081984,16.758570000000002,21.058000000000003,69.38446,0.075
Hyades,13.767000000000001,3313285110990793472,16.86894,21.397,68.48679,0.015
Hyades,10.292,3313070293905997824,16.540670000000002,20.003,69.00075,0.278
